query,search_count,rank
통증,32835,1
매출,17251,3
전공의,10670,4
개원,7122,6
주식,6999,7
신보,6009,8
부동산,4900,10
수탁,3608,11
ent,3167,12
코인,2604,16
내과,2410,17
오공,2324,18
안과,2280,19
강릉,2176,20
재활,2095,23
환자,2061,24
권은비,2003,25
이혼,1870,26
Ns,1643,27
소화기,1586,30
결혼,1571,31
봉직,1519,32
뉴질랜드,1364,34
응급,1306,37
영상,1260,38
박단,1254,39
정신과,1244,40
압구정,1037,43
마운자로,994,46
미시,991,47
검진,833,56
컨설팅,831,57
usmle,825,58
이엔티,823,60
ps,789,61
네이버,735,64
간조,718,67
대치,703,68
os,698,69
소아,672,70
정은경,670,71
보유세,668,73
대웅,667,74
통징,667,75
교수,665,76
대장내시경 밀어야 할 때,665,77
오늘,655,78
비트,649,79
llIIIIlllIlII,641,80
대출,625,82
종소세,622,83
독감,599,84
금,598,85
박남규,573,87
이재명,559,90
아파트,540,91
진상,529,93
감잡,517,94
카카오,504,95
의료사고,491,97
비뇨,485,98
개포,453,102
Fm,441,104
면허신고,439,105
대구,415,109
리플,415,110
잠실,415,111
영주권,410,112
조진모,410,113
피부과,407,114
닥터론,402,115
ercp,393,117
성형,391,118
황소,390,119
리베이트,385,120
실사,378,123
미국,373,124
힘세고,367,125
오스,365,126
이준석,364,127
도수,359,130
인턴,356,132
원베일리,353,133
블럭,339,138
테슬라,330,140
이더리움,326,141
jpg,325,142
봉직의,319,144
파파라치,319,145
정형,318,146
소득률,317,147
Ai,316,148
하와이,316,149
절간,314,151
비급여,311,153
liliilllilililil,310,154
그라비아,308,155
양도,308,156
이민,306,158
cso,299,159
세금,292,164
의새문,289,166
17억,285,168
신경외과,282,169
쑥닥,276,173
의대생,276,174
이직,274,176
아산,273,177
박민수,271,178
손흥민,269,180
스폰,269,181
소송,268,182
응급의학과,268,183
진검,268,184
직원,267,185
의대,266,186
와이프,249,193
응급실,249,194
voo,248,195
돌싱,241,196
삭감,239,197
영맨,235,199
국제학교,234,200
약국,231,203
펠로우,229,204
수련,228,205
모닝캄프리미엄,226,209
환율,226,210
lililiiliiilii,224,211
유나으리,224,212
카디오,213,219
트리암,212,220
호흡기,210,221
병리,208,223
여수,208,224
축소신고,207,226
일용직,206,228
마포,205,229
etf,203,230
3대암,201,232
환수,200,235
양수,197,238
현금,197,239
엔스,195,240
일본,191,245
집값,191,246
면허정지,188,247
영국,187,248
자살,187,249
카이아,187,250
휴가,187,251
면허번호,184,254
삼성,184,256
대상포진,180,262
마취과,180,263
실비,178,266
비용처리,177,267
골프,176,269
서울대,175,272
유방,175,273
은마,174,275
의료원,173,276
성장호르몬,172,278
신보사기,172,279
신경간내,170,281
전문의,170,282
잠원,167,285
동업,166,287
치과,166,288
필수평점,164,290
피스,163,291
NIW,162,292
여자,159,295
삼성전자,157,297
우울증,156,298
광수,155,299
블로커,155,300
임조,154,302
기타등록,153,303
안동,152,305
김윤,151,306
qqq,150,308
예비군,149,311
바이탈,148,313
환자수,148,315
메이플자이,145,317
서울통징,145,318
adhd,144,319
이빙,144,321
일동제약,144,322
호주,144,323
llililiiliil,143,324
암요양,142,325
주담대,140,330
Kmi,139,332
결정사,139,333
성형외과,139,334
소득세,139,335
esd,138,336
생활비,138,337
정신,137,339
모스 탄,136,341
부천,136,342
Gs,135,347
권리금,135,348
G80,133,352
노량진,133,353
개원허가제,132,354
대도서관,132,355
스웨디시,132,356
양재웅,132,357
종합소득세,132,358
칭구의,132,359
월급,131,361
낙수,130,362
두바이,130,363
인터벤션,130,365
와인,129,366
인기과,129,368
출산휴가,129,369
팍스로비드,129,370
면취,128,372
이더,128,374
pdnb,127,375
민생,126,376
우선미,126,377
수탁법,125,378
한의사,124,381
재건축,123,382
이지스,122,383
카리나,122,385
모발이식,121,387
속초,121,389
19,120,391
lllIIIIlllIl,120,392
피부,120,393
가지급,119,394
박미선,119,395
영상의학과,118,396
총액,118,397
반전,117,400
사무장,117,401
경기,116,405
근전도,116,406
치킨의,116,407
가스라이팅,114,408
바람,114,409
비대면,114,410
신용대출,114,411
스텝,113,415
실손,113,416
콜린,113,417
학회,113,418
개원의,112,419
마이너스통장,112,421
lililiiiiliiiil,111,424
코스피,110,427
네트워크,109,429
상근,109,432
지방,109,433
투석실,109,434
오픈닥터,108,437
mbb,107,438
대병,107,439
더마,107,440
리스,107,441
가정의학과,106,443
타르가,106,445
자율점검,105,448
렉서스,104,450
심평원,104,451
코성형,104,452
pa,103,454
ㅅㅅ,103,455
급여,103,456
판교,102,462
공단,101,463
기능의학,100,465
대한항공,100,466
신용보증,100,468
준종,100,470
카드,100,471
섹파,99,472
수액,99,473
처가,99,475
감귤,98,476
육아휴직,97,478
전공,97,479
지귀연,97,480
프롤로,97,482
골다공증,96,484
사직전공의,96,486
울쎄라,96,488
프랑켄,96,490
cctv,95,491
papa,95,492
공단 실사,95,494
무환,95,495
방배,95,496
비대면진료,95,498
